01/21/1986,C,64.5,TEST1
01/21/1986,GE,68.0,TEST1
01/21/1986,HD,11.63,TEST1
01/21/1986,IBM,149.5,TEST1
01/21/1986,JNJ,51.0,TEST1
01/21/1986,MRK,137.38,TEST1
01/21/1986,PFE,47.75,TEST1
01/21/1986,T,80.12,TEST1
01/21/1986,VZ,103.37,TEST1
01/21/1986,WMT,30.0,TEST1
01/21/1986,IBM,149.5,TEST1
01/22/1986,C,64.5,TEST1
01/22/1986,GE,67.0,TEST1
01/22/1986,HD,11.25,TEST1
01/22/1986,IBM,144.25,TEST1
01/22/1986,JNJ,49.75,TEST1
01/22/1986,MRK,136.25,TEST1
01/22/1986,PFE,47.25,TEST1
01/22/1986,T,80.62,TEST1
01/22/1986,VZ,102.5,TEST1
01/22/1986,WMT,30.12,TEST1
01/22/1986,IBM,144.25,TEST1
01/23/1986,C,64.5,TEST1
01/23/1986,GE,67.62,TEST1
01/23/1986,HD,11.25,TEST1
01/23/1986,IBM,148.0,TEST1
01/23/1986,JNJ,50.38,TEST1
01/23/1986,MRK,136.25,TEST1
01/23/1986,PFE,47.38,TEST1
01/23/1986,T,81.0,TEST1
01/23/1986,VZ,102.5,TEST1
01/23/1986,WMT,30.37,TEST1
01/23/1986,IBM,148.0,TEST1
01/24/1986,C,65.5,TEST1
01/24/1986,GE,68.75,TEST1
01/24/1986,HD,11.38,TEST1
01/24/1986,IBM,150.0,TEST1
01/24/1986,JNJ,50.0,TEST1
01/24/1986,MRK,135.38,TEST1
01/24/1986,PFE,47.0,TEST1
01/24/1986,T,81.62,TEST1
01/24/1986,VZ,102.62,TEST1
01/24/1986,WMT,30.5,TEST1
01/24/1986,IBM,150.0,TEST1
01/27/1986,C,65.62,TEST1
01/27/1986,GE,69.5,TEST1
01/27/1986,HD,11.0,TEST1
01/27/1986,IBM,149.63,TEST1
01/27/1986,JNJ,50.13,TEST1
01/27/1986,MRK,135.63,TEST1
01/27/1986,PFE,47.5,TEST1
01/27/1986,T,82.75,TEST1
01/27/1986,VZ,104.0,TEST1
01/27/1986,WMT,31.75,TEST1
01/27/1986,IBM,149.63,TEST1
01/28/1986,C,65.87,TEST1
01/28/1986,GE,70.12,TEST1
01/28/1986,HD,11.0,TEST1
01/28/1986,IBM,151.75,TEST1
01/28/1986,JNJ,51.88,TEST1
01/28/1986,MRK,136.13,TEST1
01/28/1986,PFE,49.63,TEST1
01/28/1986,T,85.62,TEST1
01/28/1986,VZ,106.25,TEST1
01/28/1986,WMT,32.13,TEST1
01/28/1986,IBM,151.75,TEST1
01/29/1986,C,67.0,TEST1
01/29/1986,GE,69.87,TEST1
01/29/1986,HD,11.25,TEST1
